,YM,Title
0,201807,<h4>アップデートのお知らせ【2018/07/31(火) 12:00 追記】</h4>
1,201807,<h4>期間限定キャラ「キャル（サマー）」登場！!</h4>
2,201807,<h4>「ダンジョンショップ」ラインナップ変更について</h4>
3,201807,<h4>「探索」ドロップ量2倍キャンペーン！</h4>
4,201807,<h4>「プリンセスコネクト！Re:Dive」キャラクターソングCD第4弾発売開始のお知らせ</h4>
5,201807,<h4>「ぷりこねっ！りだいぶ」第22話掲載</h4>
6,201807,<h4>アップデートのお知らせ【2018/07/27(金) 11:45 公開】</h4>
7,201807,<h4>「ぷりこねっ！りだいぶ」第23話掲載</h4>
8,201807,<h4>「ぷりこねっ！りだいぶ」第24話掲載</h4>
9,201807,<h4>「ハードクエスト」ドロップ量2倍キャンペーン！</h4>
10,201807,<h4>ストーリーイベント「タマキとミフユの無人島０ルピ生活」開催決定！</h4>
11,201807,<h4>2018/07/20(金)メンテナンス実施およびダンジョン新エリア「蒼海の孤塔(EXTREME)」の追加のお知らせ【追記】</h4>
12,201807,<h4>「デンジャラスバカンス！渚のグルメプリンセス」開催終了！</h4>
13,201807,<h4>ダンジョン「蒼海の孤塔(EXTREME)」追加！</h4>
14,201807,<h4>一時的にゲームに接続できない場合がある現象について</h4>
15,201807,<h4>「7月クランバトル」開催！</h4>
16,201807,<h4>「7月クランバトル」開催決定！</h4>
17,201807,<h4>「ノーマルクエスト」ドロップ量2倍キャンペーン！</h4>
18,201807,<h4>2018/07/20(金)メンテナンス終了のお知らせ</h4>
19,201807,<h4>期間限定キャラ「スズメ（サマー）」登場！！</h4>
20,201807,<h4>ギルドハウスに新しい家具を追加！</h4>
21,201807,<h4>アップデートのお知らせ【2018/07/12(木) 12:00 公開】</h4>
22,201807,<h4>「ぷりこねっ！りだいぶ」第21話掲載</h4>
23,201807,<h4>アップデートのお知らせ【2018/07/17(火) 15:00 更新】</h4>
24,201807,<h4>アップデートのお知らせ【2018/07/17(火) 12:00 公開】</h4>
25,201807,<h4>「ぷりこねっ！りだいぶ」第20話掲載</h4>
26,201807,<h4>150万ダウンロード突破記念プレゼントのお知らせ</h4>
27,201807,<h4>Google Play版において、ジュエルを購入できない現象について</h4>
28,201807,<h4>「ぷりこねっ！りだいぶ」第18話掲載</h4>
29,201807,<h4>アップデートのお知らせ【2018/07/11(水) 14:05 追記】</h4>
30,201807,<h4>「プリンセスコネクト！Re:Dive」LINE公式スタンプ発売開始のお知らせ</h4>
31,201807,<h4>「ぷりこねっ！りだいぶ」第19話掲載</h4>
32,201807,<h4>「ぷりこねっ！りだいぶ」第17話掲載</h4>
33,201807,<h4>「ダンジョン」マナドロップ量2倍キャンペーン！</h4>
34,201807,<h4>購入金額通知機能追加のお知らせ</h4>
35,201807,<h4>一部のキャリア決済において、ジュエルを購入できない不具合について</h4>
36,201807,<h4>アップデートのお知らせ【2018/07/04(水) 14:30 更新】</h4>
37,201807,<h4>6月「クランバトル」開催期間終了！【2018/07/02(月) 17:00 追記】</h4>
