,YM,Title
0,201806,<h4>期間限定キャラ「ペコリーヌ(サマー)」登場！！</h4>
1,201806,<h4>2018/06/28(木)メンテナンス終了のお知らせ</h4>
2,201806,<h4>「探索」ドロップ量2倍キャンペーン！</h4>
3,201806,<h4>ストーリーイベント「デンジャラスバカンス！ 渚のグルメプリンセス」開催中！【2018/06/30(土) 14:50 追記】</h4>
4,201806,<h4>「プリンセスコネクト！Re:Dive 新イベント発表＆ラジオ1周年記念生放送」のお知らせ【06/25(月) 22:45 追記】</h4>
5,201806,<h4>アップデートのお知らせ【2018/07/02(月) 17:30 追記】</h4>
6,201806,<h4>ストーリーイベント「デンジャラスバカンス！渚のグルメプリンセス」開催決定！</h4>
7,201806,<h4>アップデートのお知らせ【2018/06/26(火) 16:30 公開】</h4>
8,201806,<h4>「ぷりこねっ！りだいぶ」第16話掲載</h4>
9,201806,<h4>「ぷりこねっ！りだいぶ」第15話掲載</h4>
10,201806,<h4>「ハードクエスト」ドロップ量2倍キャンペーン！</h4>
11,201806,<h4>アップデートのお知らせ【2018/06/25(月) 16:00 公開】</h4>
12,201806,<h4>「プリンセスコネクト！Re:Dive」のiPhoneケースの予約受付のお知らせ【2019/03/12(火) 10:00 追記】</h4>
13,201806,<h4>「2018/06/20(水) 01:20 ～ 11:40」に行われるDMM.com全体メンテナンスについて</h4>
14,201806,<h4>「ノーマルクエスト」ドロップ量2倍キャンペーン！</h4>
15,201806,<h4>「6月クランバトル」開催中！【2018/06/21(木) 17:06 追記】</h4>
16,201806,<h4>2018/06/28(木) メンテナンス実施のお知らせ</h4>
17,201806,<h4>ダンジョンショップに「リンのメモリーピース」を追加！！</h4>
18,201806,<h4>「ぷりこねっ！りだいぶ」第14話掲載</h4>
19,201806,<h4>「ヴァンパイアハンター with イリヤ」開催終了！</h4>
20,201806,<h4>アップデートのお知らせ【2018/06/15(金) 17:10 追記】</h4>
21,201806,<h4>「ぷりこねっ！りだいぶ」第13話掲載</h4>
22,201806,<h4>4コマ「ぷりこねっ！りだいぶ」閲覧機能を追加！！【2018/06/19(火) 18:30 更新】</h4>
23,201806,<h4>アップデートのお知らせ【2018/06/18(月) 15:00 公開】</h4>
24,201806,<h4>アップデートのお知らせ【2018/06/13(水) 12:25 更新】</h4>
25,201806,<h4>アップデートのお知らせ【2018/06/19(火) 15:38 追記】</h4>
26,201806,<h4>「6月クランバトル」開催決定！</h4>
27,201806,<h4>ギルドハウスに新しい家具を追加！</h4>
28,201806,<h4>アップデートのお知らせ【2018/06/08(金) 17:45 追記】</h4>
29,201806,<h4>アップデートのお知らせ【2018/06/13(水) 10:30 追記】</h4>
30,201806,<h4>メインクエストにおいて、クエストマップからHARDに移動することができない不具合について【2018/06/13(水) 10:30 追記】</h4>
31,201806,<h4>2018/06/05(火)メンテナンス終了のお知らせ</h4>
32,201806,<h4>新キャラ「ツムギ」登場！！</h4>
33,201806,<h4>「プリンセスコネクト！Re:Dive」キャラクターソングカラオケ配信開始のお知らせ</h4>
34,201806,<h4>5月「クランバトル」開催期間終了！【2018/06/01(金) 17:00 追記】</h4>
35,201806,<h4>ショップにて購入可能な一部アイテムの「クランコイン」「マナ」の必要数変更について</h4>
36,201806,<h4>「ダンジョン」マナドロップ量2倍キャンペーン！</h4>
37,201806,<h4>正常にゲームをプレイできない不具合について【2018/06/03(日) 13:00 追記】</h4>
