,YM,Title
0,201805,<h4>2018/06/05(火) メンテナンス実施のお知らせ</h4>
1,201805,<h4>「探索」ドロップ量2倍キャンペーン！</h4>
2,201805,<h4>アップデートのお知らせ【2018/05/31(木) 12:00 実施】</h4>
3,201805,<h4>アップデートのお知らせ【2018/05/25(金) 16:00 実施】</h4>
4,201805,<h4>「ストーリーイベント」緊急メンテナンス実施のお知らせ【2018/05/31(木) 17:50 追記】</h4>
5,201805,<h4>クエストクリアパーティ閲覧機能追加！</h4>
6,201805,<h4>「ハードクエスト」ドロップ量2倍キャンペーン！</h4>
7,201805,<h4>アップデートのお知らせ【2018/05/25(金) 15:30 公開】</h4>
8,201805,<h4>ストーリーイベント「ヴァンパイアハンター with イリヤ」開催中！</h4>
9,201805,<h4>「プリンセスコネクト！Re:Dive」キャラクターソングCD第3弾発売開始のお知らせ</h4>
10,201805,<h4>2018/05/22(火) 緊急メンテナンス実施のお知らせ【2018/05/22(火) 14:23 追記】</h4>
11,201805,<h4>新キャラ「イリヤ」登場！！</h4>
12,201805,<h4>ストーリーイベント「ヴァンパイアハンター with イリヤ」開催決定！</h4>
13,201805,<h4>DMM GAMES版 「プリンセスコネクト！Re:Dive」サービス開始のお知らせ</h4>
14,201805,<h4>一部のメインクエストと装備のバランス調整について</h4>
15,201805,<h4>「プリンセスコネクト！Re:Dive」のグッズ販売開始のお知らせ【2019/03/12(火) 10:00 追記】</h4>
16,201805,<h4>「ノーマルクエスト」ドロップ量2倍キャンペーン！</h4>
17,201805,<h4>DMM GAMES版にて、正常にゲームをプレイできない不具合について【2018/05/22(火) 17:00追記】</h4>
18,201805,<h4>アップデートのお知らせ【2018/05/18(金) 12:00 公開】</h4>
19,201805,<h4>新キャラ「ミサト」登場！！</h4>
20,201805,<h4>1日1回10連ガチャ無料キャンペーン開催のお知らせ</h4>
21,201805,<h4>「ショップ」ラインナップ変更について</h4>
22,201805,<h4>1日1回10連ガチャ無料キャンペーン開催！！</h4>
23,201805,<h4>ギルドハウスに新しい家具を追加！</h4>
24,201805,<h4>アップデートのお知らせ【2018/05/21(月) 15:35 実施】</h4>
25,201805,<h4>アップデートのお知らせ【2018/05/15(火) 15:00 実施】</h4>
26,201805,<h4>5月「クランバトル」開催中！</h4>
27,201805,<h4>DMM GAMES版事前登録開始のお知らせ</h4>
28,201805,<h4>共闘チケット使用時の報酬追加について</h4>
29,201805,<h4>「プリンセスコネクト！Re:Dive」キャラクターソングカラオケ配信開始のお知らせ</h4>
30,201805,<h4>2018/05/09(水) メンテナンス終了のお知らせ</h4>
31,201805,<h4>「ショップ」ラインナップ変更について</h4>
32,201805,<h4>2018/05/09(水) メンテナンス実施のお知らせ</h4>
33,201805,<h4>共闘チケット使用時の報酬追加について</h4>
34,201805,<h4>「ダンジョン」マナドロップ量2倍キャンペーン！</h4>
35,201805,<h4>2018/05/07(月)ストーリーイベント「リトル・リリカル・アドベンチャーズ！」のメンテナンス終了のお知らせ【2018/05/07(月) 18:40 更新】</h4>
36,201805,<h4>2018/05/07(月)ストーリーイベント「リトル・リリカル・アドベンチャーズ！」のメンテナンス実施のお知らせ</h4>
