,YM,Title
98,201805,2018/05/07(月)ストーリーイベント「リトル・リリカル・アドベンチャーズ！」のメンテナンス実施のお知らせ
99,201806,期間限定キャラ「ペコリーヌ(サマー)」登場！！
100,201806,2018/06/28(木)メンテナンス終了のお知らせ
101,201806,「探索」ドロップ量2倍キャンペーン！
102,201806,ストーリーイベント「デンジャラスバカンス！ 渚のグルメプリンセス」開催中！【2018/06/30(土) 14:50 追記】
103,201806,「プリンセスコネクト！Re:Dive 新イベント発表＆ラジオ1周年記念生放送」のお知らせ【06/25(月) 22:45 追記】
104,201806,アップデートのお知らせ【2018/07/02(月) 17:30 追記】
105,201806,ストーリーイベント「デンジャラスバカンス！渚のグルメプリンセス」開催決定！
106,201806,アップデートのお知らせ【2018/06/26(火) 16:30 公開】
107,201806,「ぷりこねっ！りだいぶ」第16話掲載
108,201806,「ぷりこねっ！りだいぶ」第15話掲載
109,201806,「ハードクエスト」ドロップ量2倍キャンペーン！
110,201806,アップデートのお知らせ【2018/06/25(月) 16:00 公開】
111,201806,「プリンセスコネクト！Re:Dive」のiPhoneケースの予約受付のお知らせ【2019/03/12(火) 10:00 追記】
112,201806,「2018/06/20(水) 01:20 ～ 11:40」に行われるDMM.com全体メンテナンスについて
113,201806,「ノーマルクエスト」ドロップ量2倍キャンペーン！
114,201806,「6月クランバトル」開催中！【2018/06/21(木) 17:06 追記】
115,201806,2018/06/28(木) メンテナンス実施のお知らせ
116,201806,ダンジョンショップに「リンのメモリーピース」を追加！！
117,201806,「ぷりこねっ！りだいぶ」第14話掲載
118,201806,「ヴァンパイアハンター with イリヤ」開催終了！
119,201806,アップデートのお知らせ【2018/06/15(金) 17:10 追記】
120,201806,「ぷりこねっ！りだいぶ」第13話掲載
121,201806,4コマ「ぷりこねっ！りだいぶ」閲覧機能を追加！！【2018/06/19(火) 18:30 更新】
122,201806,アップデートのお知らせ【2018/06/18(月) 15:00 公開】
123,201806,アップデートのお知らせ【2018/06/13(水) 12:25 更新】
124,201806,アップデートのお知らせ【2018/06/19(火) 15:38 追記】
125,201806,「6月クランバトル」開催決定！
126,201806,ギルドハウスに新しい家具を追加！
127,201806,アップデートのお知らせ【2018/06/08(金) 17:45 追記】
128,201806,アップデートのお知らせ【2018/06/13(水) 10:30 追記】
129,201806,メインクエストにおいて、クエストマップからHARDに移動することができない不具合について【2018/06/13(水) 10:30 追記】
130,201806,2018/06/05(火)メンテナンス終了のお知らせ
131,201806,新キャラ「ツムギ」登場！！
132,201806,「プリンセスコネクト！Re:Dive」キャラクターソングカラオケ配信開始のお知らせ
133,201806,5月「クランバトル」開催期間終了！【2018/06/01(金) 17:00 追記】
134,201806,ショップにて購入可能な一部アイテムの「クランコイン」「マナ」の必要数変更について
135,201806,「ダンジョン」マナドロップ量2倍キャンペーン！
136,201806,正常にゲームをプレイできない不具合について【2018/06/03(日) 13:00 追記】
137,201807,アップデートのお知らせ【2018/07/31(火) 12:00 追記】
138,201807,期間限定キャラ「キャル（サマー）」登場！!
139,201807,「ダンジョンショップ」ラインナップ変更について
140,201807,「探索」ドロップ量2倍キャンペーン！
141,201807,「プリンセスコネクト！Re:Dive」キャラクターソングCD第4弾発売開始のお知らせ
142,201807,「ぷりこねっ！りだいぶ」第22話掲載
