,YM,Title
0,201802,<h4>ガチャメンテナンス実施のお知らせ【2018/02/28(水) 19:00 追記】</h4>
1,201802,<h4>新キャラ「ジュン」登場!!</h4>
2,201802,<h4>アップデートのお知らせ【2018/2/21(水) 13:00 公開】</h4>
3,201802,<h4>公式サイトリニューアルのお知らせ</h4>
4,201802,<h4>「探索」ドロップ量2倍キャンペーン！【2018/02/28(水) 20:00 追記】</h4>
5,201802,<h4>「プリンセスコネクト！Re:Dive リリース直前生放送」のお知らせ</h4>
6,201802,<h4>App store事前登録開始のお知らせ</h4>
7,201802,<h4>サービス開始のお知らせ【2018/03/15(木) 17:00 追記】</h4>
8,201802,<h4>事前ダウンロード開始のお知らせ</h4>
9,201802,<h4>プリンセスコネクト！Re:Dive 配信時期決定のお知らせ</h4>
10,201802,<h4>50万ダウンロード突破記念プレゼントのお知らせ</h4>
11,201802,<h4>プリンセスコネクト！Re:Dive 配信日決定のお知らせ</h4>
12,201802,<h4>Google Playで事前登録を開始！</h4>
